id,title,description,courseTitle
task_7c785f6b174a44469e73bf3e43e81897,Forklare betydningen av internasjonal...,Complete the following activity to demonstrate mastery of the stated learning outcomes: Forklare betydningen av internasjonal handel. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Anvendt økonomi
task_bbd842321d504a9f9c5b4d17a3361831,Forklare policyimplikasjoner av ulike...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: Forklare policyimplikasjoner av ulike former for markedssvikt, spesielt hvordan markedssvikt må korrigeres for å fremme FNs bærekraftsmål. | Forklare betydningen av internasjonal handel. | Forklare policyimplikasjoner av ulike former for markedssvikt for konkurranse og innovasjon. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_6074311036684bd998e4e949464a6eef,"Diskutere virkningene av handels-,...","Complete the following activity to demonstrate mastery of the stated learning outcomes: Diskutere virkningene av handels-, nærings- og miljøpolitikk. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_8ed776f1c25c4fec88e851b0a17bbca6,Forklare betydningen av motivasjon...,Complete the following activity to demonstrate mastery of the stated learning outcomes: Forklare betydningen av motivasjon og insentiver for lønnssetting. | Ha innsikt i ulike måter en kan kombinere økonomisk teori og data til å måle kausale effekter. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Anvendt økonomi
task_2f5935edf2f64e1599dd434401aecee1,Forklare betydningen av motivasjon...,Complete the following activity to demonstrate mastery of the stated learning outcomes: Forklare betydningen av motivasjon og insentiver for lønnssetting. | Forklare betydningen av internasjonal handel. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Anvendt økonomi
task_f727682c853942409319965f2898719b,Benytte teori til å...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: Benytte teori til å formulere prediksjoner, og anvende teoriapparatet til å forstå aktuelle problemstillinger innen for eksempel toll eller miljøpolitikk. | Være i stand til å kritisere metodevalg, utførelse og fortolkning av empirisk argumentasjon i den samfunnsøkonomiske debatten. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_f0e02325502d4fe9af83641b15502af4,Vurdere i hvilken grad...,Complete the following activity to demonstrate mastery of the stated learning outcomes: Vurdere i hvilken grad markedsøkonomien fremmer FNs bærekraftsmål. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Anvendt økonomi
task_7d9927cdc89a4f8b8dbfeb76fc7945bb,Forklare betydningen av motivasjon...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: Forklare betydningen av motivasjon og insentiver for lønnssetting. | Vurdere i hvilken grad markedsøkonomien fremmer FNs bærekraftsmål. | Diskutere virkningene av handels-, nærings- og miljøpolitikk. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_35e2b3ed5f80417dae9b273f1a1d3bbd,Ta stilling til hvordan...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: Ta stilling til hvordan teorien skal kombineres med empiriske observasjoner, alt fra en case studie, en spørreundersøkelse, eksperimenter, til et omfattende datasett. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_969b5c1b050041d18e50cc212527887b,Være i stand til...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: Være i stand til kritisk å reflektere over hvordan økonomiske modeller og økonomisk metode kan anvendes for å få en bedre forståelse av aktuelle problemstillinger, for eksempel innen lønnsdannelse, handelspolitikk eller miljøregulering. | Ta stilling til hvordan teorien skal kombineres med empiriske observasjoner, alt fra en case studie, en spørreundersøkelse, eksperimenter, til et omfattende datasett. | Forklare betydningen av motivasjon og insentiver for lønnssetting. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_85ad7060473347928c6e1dfe92101f0e,Beskrive og forklare hvordan...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: Beskrive og forklare hvordan en ved hjelp av ulike typer data kan analysere henholdsvis individers, bedrifters og samfunnets ulike beslutninger. | Beskrive og forklare, på et generelt nivå, hvordan økonomisk teori kan brukes til å forstå og analysere aktuelle problemstillinger, for eksempel innen lønnsdannelse, handelspolitikk eller miljøregulering. | Bygge en empirisk modell som kan analysere effekten av et tiltak, for eksempel en priskampanje for en bedrift. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_8ec86d898c47471ba3ab986ad22e60f6,Ta stilling til hvordan...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: Ta stilling til hvordan teorien skal kombineres med empiriske observasjoner, alt fra en case studie, en spørreundersøkelse, eksperimenter, til et omfattende datasett. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_c8b4e8c6d35341f1b3878a6864c80748,"Strukturere aktuelle problemstillinger, for...","Complete the following activity to demonstrate mastery of the stated learning outcomes: Strukturere aktuelle problemstillinger, for eksempel innen lønnsdannelse og handelspolitikk. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_e0302f591b7c499a865569fb72026ff1,Være i stand til...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: Være i stand til å kritisere metodevalg, utførelse og fortolkning av empirisk argumentasjon i den samfunnsøkonomiske debatten. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_4867d8b6a86440ccb32c43c0ca621f08,Vurdere i hvilken grad...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: Vurdere i hvilken grad markedsøkonomien fremmer FNs bærekraftsmål. | Bygge en empirisk modell som kan analysere effekten av et tiltak, for eksempel en priskampanje for en bedrift. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_ef6a3582f3c54b7993d2546932062472,kan anvende beslutningstrær til...,Complete the following activity to demonstrate mastery of the stated learning outcomes: kan anvende beslutningstrær til å analysere enkle beslutningsproblemer med forventet verdi som beslutningskriterium Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Bedriftsøkonomiske beslutninger
task_c5228023b97c4ab1b63cca0ff03d646e,kan avgjøre når det...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: kan avgjøre når det er nødvendig å bruke heltallsmodeller eller ikke-lineære modeller | kjenner til de mest sentrale beslutningskriterier for analyse av beslutningssituasjoner med usikkerhet, herunder modeller som tar hensyn til ulike typer risikoholdning Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Bedriftsøkonomiske beslutninger
task_879f332df8ce4f0695e2f2319263bac4,kan grafisk løse og...,Complete the following activity to demonstrate mastery of the stated learning outcomes: kan grafisk løse og gjøre følsomhetsanalyse for et LP-problem med to beslutningsvariabler | kan beregne og forstå konfidensintervaller for estimater fra simuleringsmodeller Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Bedriftsøkonomiske beslutninger
task_39cb13dd8fe44a3ea3ffb71171054baa,kjenner til beregningsmessige problemer...,Complete the following activity to demonstrate mastery of the stated learning outcomes: kjenner til beregningsmessige problemer knyttet til analyse av heltallsmodeller og ikke-lineære modeller | kan bruke simuleringsmodeller til å kvantifisere konsekvenser av beslutninger under usikkerhet | kan anvende beslutningstrær til å analysere enkle beslutningsproblemer med forventet verdi som beslutningskriterium Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Bedriftsøkonomiske beslutninger
task_48ced1add72444e3ba62baa77a93166d,kjenner til beregningsmessige problemer...,Complete the following activity to demonstrate mastery of the stated learning outcomes: kjenner til beregningsmessige problemer knyttet til analyse av heltallsmodeller og ikke-lineære modeller Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Bedriftsøkonomiske beslutninger
task_d5e8309b4815460a981d8054049eadb6,forstår og kan beregne...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: forstår og kan beregne verdien av perfekt/imperfekt informasjon med utgangspunkt i forventet verdi som beslutningskriterium | kan bruke heltallsvariabler til å modellere ulike diskrete valg, for eksempel enten/eller-beslutninger Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Bedriftsøkonomiske beslutninger
task_2392135ad83046c2a07ff99ac738807d,kjenner til og kan...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: kjenner til og kan bruke grunnleggende modeller for beregning av prognoser, herunder modeller som tar hensyn til trend og sesongvariasjoner | kjenner til de mest sentrale beslutningskriterier for analyse av beslutningssituasjoner med usikkerhet, herunder modeller som tar hensyn til ulike typer risikoholdning | kjenner til beregningsmessige problemer knyttet til analyse av heltallsmodeller og ikke-lineære modeller Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Bedriftsøkonomiske beslutninger
task_d82aaaa2326a4e2d9d719b30496d348b,kjenner til og kan...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: kjenner til og kan bruke grunnleggende modeller for beregning av prognoser, herunder modeller som tar hensyn til trend og sesongvariasjoner Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Bedriftsøkonomiske beslutninger
task_cf3dc9345a0140559b231cb4f09b3909,kjenner til de mest...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: kjenner til de mest sentrale beslutningskriterier for analyse av beslutningssituasjoner med usikkerhet, herunder modeller som tar hensyn til ulike typer risikoholdning Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Bedriftsøkonomiske beslutninger
task_2fb8c7c01a1646a4b17b5bcd9e438f84,kan bruke simuleringsmodeller til...,Complete the following activity to demonstrate mastery of the stated learning outcomes: kan bruke simuleringsmodeller til å kvantifisere konsekvenser av beslutninger under usikkerhet | kan formulere beslutningsproblemer matematisk og implementere modellene ved hjelp av dataverktøy Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Bedriftsøkonomiske beslutninger
task_bface01d9a754fcb91cdcb4ed5a0491b,kjenner til de mest...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: kjenner til de mest sentrale beslutningskriterier for analyse av beslutningssituasjoner med usikkerhet, herunder modeller som tar hensyn til ulike typer risikoholdning Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Bedriftsøkonomiske beslutninger
task_8f8777fd47424e94b2abfa3974a9e3fd,Undervisningsopplegg Det meste av...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: Undervisningsopplegg Det meste av læringen i emnet vil skje gjennom dialoggrupper, der studentene jobber i små grupper med relativt enkle oppgaver, og der studentassistenter og/eller forelesere vil være tilgjengelige for å diskutere og svare på spørsmål når det er nødvendig. Generell teori som vil være nyttig i dialoggruppene vil bli presentert i videoer som blir publisert i starten av hver temabolk, og studentene vil kunne få svar på eventuelle spørsmål via orakeltjenesten. Til hver temabolk vil det bli satt opp mer avanserte regneoppgaver fra læreboken, og disse oppgavene vil bli gjennomgått i plenum på slutten av temabolken. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Bedriftsøkonomiske beslutninger
task_61e2db1f80574e3ca510ef9f2fffd281,bidra til modellering og...,Complete the following activity to demonstrate mastery of the stated learning outcomes: bidra til modellering og analyse for effektiv og bærekraftig ressursbruk i realistiske beslutningssituasjoner | kan grafisk løse og gjøre følsomhetsanalyse for et LP-problem med to beslutningsvariabler Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Bedriftsøkonomiske beslutninger
task_bc11e3327788408f8433708d8a8180d5,kan bruke heltallsvariabler til...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: kan bruke heltallsvariabler til å modellere ulike diskrete valg, for eksempel enten/eller-beslutninger | kan anvende resultater fra sensitivitetsrapporter for LP-problemer, blant annet skyggepriser og slakkverdier, i økonomiske analyser Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Bedriftsøkonomiske beslutninger
task_780bc264448d42239adbea27428c94a7,kan bruke simuleringsmodeller til...,Complete the following activity to demonstrate mastery of the stated learning outcomes: kan bruke simuleringsmodeller til å kvantifisere konsekvenser av beslutninger under usikkerhet | kan anvende beslutningstrær til å analysere enkle beslutningsproblemer med forventet verdi som beslutningskriterium | kan beregne og forstå konfidensintervaller for estimater fra simuleringsmodeller Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Bedriftsøkonomiske beslutninger
task_15989d9b1d0843a4a8ed171812ef8801,forstår og kan beregne...,Complete the following activity to demonstrate mastery of the stated learning outcomes: forstår og kan beregne verdien av perfekt/imperfekt informasjon med utgangspunkt i forventet verdi som beslutningskriterium | kjenner til beregningsmessige problemer knyttet til analyse av heltallsmodeller og ikke-lineære modeller Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Bedriftsøkonomiske beslutninger
task_bdf2ffca6c07420a90d61fd3c79bfc1e,kan bruke heltallsvariabler til...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: kan bruke heltallsvariabler til å modellere ulike diskrete valg, for eksempel enten/eller-beslutninger Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Bedriftsøkonomiske beslutninger
task_425bf7722e3c43739786d69895474b18,Undervisningsopplegg Det meste av...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: Undervisningsopplegg Det meste av læringen i emnet vil skje gjennom dialoggrupper, der studentene jobber i små grupper med relativt enkle oppgaver, og der studentassistenter og/eller forelesere vil være tilgjengelige for å diskutere og svare på spørsmål når det er nødvendig. Generell teori som vil være nyttig i dialoggruppene vil bli presentert i videoer som blir publisert i starten av hver temabolk, og studentene vil kunne få svar på eventuelle spørsmål via orakeltjenesten. Til hver temabolk vil det bli satt opp mer avanserte regneoppgaver fra læreboken, og disse oppgavene vil bli gjennomgått i plenum på slutten av temabolken. | kan formulere beslutningsproblemer matematisk og implementere modellene ved hjelp av dataverktøy | forstår og kan beregne verdien av perfekt/imperfekt informasjon med utgangspunkt i forventet verdi som beslutningskriterium Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Bedriftsøkonomiske beslutninger
task_63bf7222f7564f39ad079f5156aab7f2,kan anvende resultater fra...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: kan anvende resultater fra sensitivitetsrapporter for LP-problemer, blant annet skyggepriser og slakkverdier, i økonomiske analyser Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Bedriftsøkonomiske beslutninger
task_a98a2031fab748bd9638cf22e0d20a68,kjenner til beregningsmessige problemer...,Complete the following activity to demonstrate mastery of the stated learning outcomes: kjenner til beregningsmessige problemer knyttet til analyse av heltallsmodeller og ikke-lineære modeller Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Bedriftsøkonomiske beslutninger
task_033417470f1f468bb8b1538b8777d4ae,kan anvende sine kunnskaper...,Complete the following activity to demonstrate mastery of the stated learning outcomes: kan anvende sine kunnskaper og ferdigheter til å løse forretningsproblemer ved hjelp av hensiktsmessig informasjonsteknologi | har grunnleggende kunnskaper om prinsipper for strukturert programmering Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Databehandling for økonomer
task_bad1b5683cf14744a9a5418d0452d250,"kan hente, bearbeide og...","Complete the following activity to demonstrate mastery of the stated learning outcomes: kan hente, bearbeide og modellere data for videre analyse og visualisering i Power BI | kan anvende sine kunnskaper og ferdigheter til å løse forretningsproblemer ved hjelp av hensiktsmessig informasjonsteknologi Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Databehandling for økonomer
task_b8132f0b43d14eed98f3aadffbeca326,kan lage enkle applikasjoner...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: kan lage enkle applikasjoner i MS Power Plattform | har kjennskap til etiske problemstillinger knyttet til personvern, bærekraft, IT-sikkerhet og databehandling Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Databehandling for økonomer
task_38f276bf941b4d429020634b1ce7e744,har grunnleggende kunnskaper om...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: har grunnleggende kunnskaper om økonomisk-administrativ databehandling | kan beskrive forretningsmessige og teknologiske behov knyttet til spesifikke database-, applikasjons- og regnearkløsninger. | har grunnleggende kunnskaper om prinsipper for strukturert programmering Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Databehandling for økonomer
task_0246a1e5c8b24fe5934e755e256188b4,kan lage enkle applikasjoner...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: kan lage enkle applikasjoner i MS Power Plattform | har kjennskap til etiske problemstillinger knyttet til personvern, bærekraft, IT-sikkerhet og databehandling | kan bygge økonomiske modeller i Excel Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Databehandling for økonomer
task_e1e1eadd384342ed920c32a260fcf810,har kjennskap til etiske...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: har kjennskap til etiske problemstillinger knyttet til personvern, bærekraft, IT-sikkerhet og databehandling Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Databehandling for økonomer
task_c0091c2dc41340bdaaddcb74490b54ab,har kunnskap om informasjonsteknologi...,Complete the following activity to demonstrate mastery of the stated learning outcomes: har kunnskap om informasjonsteknologi og utfordringer ved bruk av informasjonsteknologi i bedrifter og samfunnet | kan utforme datamodeller på 3. normalform samt utforme enkle dimensjonale datamodeller Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Databehandling for økonomer
task_8a87d0e98fbf49f5abdaf45ecf5b4adb,Undervisningsopplegg Emnet vil bestå...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: Undervisningsopplegg Emnet vil bestå av fysiske samlinger, undervisningsvideoer og fysiske gruppeøvelser. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Databehandling for økonomer
task_8ddc5c26c0204ff78dd0f17b9c4ac104,har kjennskap til etiske...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: har kjennskap til etiske problemstillinger knyttet til personvern, bærekraft, IT-sikkerhet og databehandling | kan lage enkle applikasjoner i MS Power Plattform | har kunnskap om informasjonsteknologi og utfordringer ved bruk av informasjonsteknologi i bedrifter og samfunnet Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Databehandling for økonomer
task_226284bede6d4ac6bda9ec84044dbfa8,har grunnleggende kunnskaper om...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: har grunnleggende kunnskaper om prinsipper for strukturert programmering | kan beskrive forretningsmessige og teknologiske behov knyttet til spesifikke database-, applikasjons- og regnearkløsninger. | har kjennskap til etiske problemstillinger knyttet til personvern, bærekraft, IT-sikkerhet og databehandling Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Databehandling for økonomer
task_2926f276925f4feabf64fe57326a742f,kan lage enkle applikasjoner...,Complete the following activity to demonstrate mastery of the stated learning outcomes: kan lage enkle applikasjoner i MS Power Plattform | kan anvende sine kunnskaper og ferdigheter til å løse forretningsproblemer ved hjelp av hensiktsmessig informasjonsteknologi | har kjennskap til databaser og bruk av disse Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Databehandling for økonomer
task_0aae17012a124eab93c105c06764ab44,kan bygge økonomiske modeller...,Complete the following activity to demonstrate mastery of the stated learning outcomes: kan bygge økonomiske modeller i Excel Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Databehandling for økonomer
task_3040d22c86a44cbbb7874be471741c19,kan lage enkle applikasjoner...,Complete the following activity to demonstrate mastery of the stated learning outcomes: kan lage enkle applikasjoner i MS Power Plattform Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Databehandling for økonomer
task_752ab66ab5f746c4a645b42b50f72ed1,har grunnleggende kunnskaper om...,Complete the following activity to demonstrate mastery of the stated learning outcomes: har grunnleggende kunnskaper om økonomisk-administrativ databehandling | kan anvende sine kunnskaper og ferdigheter til å løse forretningsproblemer ved hjelp av hensiktsmessig informasjonsteknologi | kan bygge økonomiske modeller i Excel Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Databehandling for økonomer
task_da98889e9d4c45c5971ffb49bf189aa5,har grunnleggende kunnskaper om...,Complete the following activity to demonstrate mastery of the stated learning outcomes: har grunnleggende kunnskaper om økonomisk-administrativ databehandling | har grunnleggende kunnskaper om prinsipper for strukturert programmering Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Databehandling for økonomer
task_5de5db5d28814e37b12b70e170cdd5f5,har kjennskap til etiske...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: har kjennskap til etiske problemstillinger knyttet til personvern, bærekraft, IT-sikkerhet og databehandling | har kjennskap til databaser og bruk av disse Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Databehandling for økonomer
task_aa01269f0a0f433e93f34c7a35e586e3,har kjennskap til databaser...,Complete the following activity to demonstrate mastery of the stated learning outcomes: har kjennskap til databaser og bruk av disse Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Databehandling for økonomer
task_010db914b068432bb02b8789e40df47c,har grunnleggende kunnskaper om...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: har grunnleggende kunnskaper om prinsipper for strukturert programmering | Undervisningsopplegg Emnet vil bestå av fysiske samlinger, undervisningsvideoer og fysiske gruppeøvelser. | kan utforme datamodeller på 3. normalform samt utforme enkle dimensjonale datamodeller Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Databehandling for økonomer
task_fd551da7dfe347a5afa94accb42f5b41,kan lage enkle applikasjoner...,Complete the following activity to demonstrate mastery of the stated learning outcomes: kan lage enkle applikasjoner i MS Power Plattform Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Databehandling for økonomer
task_31599e46b50f41ddbe35a41ea965415d,har kunnskap om informasjonsteknologi...,Complete the following activity to demonstrate mastery of the stated learning outcomes: har kunnskap om informasjonsteknologi og utfordringer ved bruk av informasjonsteknologi i bedrifter og samfunnet Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Databehandling for økonomer
task_8d0544d14c834c3e818a267bddb53728,kan utforme datamodeller på...,Complete the following activity to demonstrate mastery of the stated learning outcomes: kan utforme datamodeller på 3. normalform samt utforme enkle dimensjonale datamodeller | kan lage enkle applikasjoner i MS Power Plattform | har kunnskap om informasjonsteknologi og utfordringer ved bruk av informasjonsteknologi i bedrifter og samfunnet Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Databehandling for økonomer
task_0ed878f2263c4c5a865a5330ebf23e5d,kan lage enkle applikasjoner...,Complete the following activity to demonstrate mastery of the stated learning outcomes: kan lage enkle applikasjoner i MS Power Plattform | kan anvende sine kunnskaper og ferdigheter til å løse forretningsproblemer ved hjelp av hensiktsmessig informasjonsteknologi Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Databehandling for økonomer
task_85d1f05406004922906286497f67431b,har kjennskap til databaser...,Complete the following activity to demonstrate mastery of the stated learning outcomes: har kjennskap til databaser og bruk av disse | kan lage enkle applikasjoner i MS Power Plattform Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Databehandling for økonomer
